student_acc_test,student_acc_train,student_loss,teacher_acc_test,teacher_acc_train,teacher_loss,total_loss
0.1405,0.1415,6.926154,0.1434,0.1405,0.0,6.926154
0.1521,0.15675,2.5150921,0.1423,0.1405,0.0,2.5150921
0.2552,0.2625,2.1421092,0.1441,0.138,0.0,2.1421092
0.2684,0.257,2.0369327,0.1394,0.1425,0.0,2.0369327
0.2818,0.28375,1.9680297,0.1406,0.137,0.0,1.9680297
0.3185,0.316,1.916962,0.1393,0.13625,0.0,1.916962
0.3162,0.322,1.8595989,0.1398,0.139,0.0,1.8595989
0.3299,0.35425,1.829657,0.1391,0.138,0.0,1.829657
0.3563,0.3695,1.7596684,0.1357,0.1345,0.0,1.7596684
0.377,0.3835,1.722419,0.1366,0.139,0.0,1.722419
0.3487,0.368,1.6987126,0.1333,0.13325,0.0,1.6987126
0.3864,0.41125,1.6752726,0.1376,0.1335,0.0,1.6752726
0.3789,0.41075,1.6194198,0.1381,0.1375,0.0,1.6194198
0.4161,0.45875,1.6187356,0.1435,0.13725,0.0,1.6187356
0.4037,0.44525,1.5788511,0.1509,0.15175,0.0,1.5788511
0.4162,0.443,1.5346622,0.1615,0.165,0.0,1.5346622
0.4036,0.44275,1.5423975,0.1783,0.175,0.0,1.5423975
0.4383,0.479,1.5113825,0.1898,0.19275,0.0,1.5113825
0.4422,0.48625,1.5106996,0.2126,0.21575,0.0,1.5106996
0.4343,0.47775,1.4571589,0.2247,0.23225,0.0,1.4571589
0.4462,0.50225,1.4597574,0.2369,0.24125,0.0,1.4597574
0.4307,0.48475,1.4492426,0.2503,0.25775,0.0,1.4492426
0.4452,0.4885,1.4245185,0.2549,0.2595,0.0,1.4245185
0.4455,0.5065,1.4100405,0.2652,0.2815,0.0,1.4100405
0.4518,0.4985,1.3789562,0.2739,0.28625,0.00042888112,1.3793851
0.4587,0.5225,1.3759719,0.2827,0.302,0.014485985,1.3904579
0.4503,0.51375,1.3594716,0.2875,0.308,0.0132958535,1.3727674
0.4653,0.52625,1.3349391,0.2966,0.3105,0.011774281,1.3467133
0.4475,0.51575,1.3364971,0.3058,0.3285,0.010915112,1.3474121
0.4694,0.548,1.3209922,0.3191,0.338,0.010873266,1.3318654
0.4511,0.51975,1.3362601,0.3207,0.34025,0.011192696,1.3474529
0.4592,0.52875,1.3026745,0.3311,0.35875,0.010208355,1.3128828
0.4669,0.538,1.3255227,0.3388,0.36425,0.009545578,1.3350681
0.4624,0.537,1.2713696,0.3495,0.372,0.00898802,1.2803576
0.4786,0.55225,1.2738343,0.3576,0.383,0.008757835,1.2825922
0.4776,0.5555,1.2400274,0.3691,0.39725,0.008591728,1.2486193
