student_acc_test,student_acc_train,student_loss
0.1,0.1,78.055374
0.0926,0.104,5.745191
0.1291,0.117,2.4059372
0.131,0.13,2.3090973
0.1574,0.163,2.294085
0.1444,0.152,2.2249053
0.182,0.174,2.1916556
0.1729,0.176,2.1791787
0.1756,0.194,2.2323272
0.2081,0.221,2.1860185
0.1816,0.196,2.09776
0.2055,0.199,2.1074805
0.2242,0.236,2.0737324
0.2332,0.245,2.041718
0.2185,0.225,2.0771782
0.2613,0.255,2.0271878
0.2428,0.261,2.0139165
0.235,0.249,1.9750845
0.2596,0.281,1.9821293
0.2654,0.296,1.9684013
0.2994,0.322,1.9161896
0.2851,0.295,1.8682919
0.2501,0.286,1.8898504
0.3013,0.33,1.900172
0.3002,0.327,1.8563687
0.2905,0.315,1.8392746
0.2904,0.33,1.8299087
0.3134,0.36,1.7976649
0.2655,0.3,1.8091888
0.3151,0.372,1.871424
0.2836,0.341,1.8106544
0.3306,0.378,1.7871819
0.2712,0.333,1.7734985
0.3054,0.347,1.745239
0.318,0.389,1.7608521
0.3253,0.366,1.680382
0.3283,0.392,1.7096107
0.3231,0.409,1.7605921
0.3417,0.391,1.697705
0.332,0.406,1.655422
0.3421,0.428,1.6388292
0.3533,0.436,1.6035099
0.3297,0.419,1.6092446
0.3373,0.43,1.6301304
0.3453,0.441,1.5740414
0.3291,0.402,1.5496467
0.3204,0.425,1.6058738
0.364,0.443,1.6211551
0.3647,0.432,1.5807159
0.3502,0.434,1.5702717
0.3528,0.448,1.5441726
0.3227,0.449,1.532939
0.3315,0.427,1.5502126
0.3319,0.449,1.5326587
0.3652,0.47,1.5494295
0.3447,0.46,1.461145
0.3631,0.48,1.457537
0.3543,0.457,1.5034864
0.3673,0.503,1.4337428
0.3679,0.511,1.3850209
0.3436,0.478,1.3752291
0.3783,0.55,1.3702204
0.3648,0.5,1.3611318
0.351,0.499,1.3628641
0.3794,0.541,1.4013433
0.3771,0.553,1.2993653
0.3642,0.509,1.2740328
0.3571,0.516,1.4529153
0.3536,0.488,1.4304297
0.3425,0.457,1.4076172
0.3675,0.539,1.3997796
0.3638,0.532,1.3553247
0.388,0.582,1.3342603
0.3631,0.564,1.2367966
0.365,0.575,1.2526718
0.3777,0.595,1.2326868
0.395,0.595,1.1863681
0.3867,0.615,1.2000526
0.372,0.569,1.1688652
0.3948,0.592,1.1625293
0.3823,0.604,1.1565241
0.385,0.611,1.1577638
0.3797,0.563,1.1912905
0.3804,0.628,1.2218546
0.3891,0.623,1.1165285
0.3985,0.653,1.090944
0.3841,0.63,1.1110656
0.3886,0.654,1.0146201
0.3793,0.638,0.9903549
0.3838,0.643,1.0656344
0.3875,0.649,0.9667927
0.3875,0.633,1.014283
0.3737,0.664,0.9995874
0.3897,0.674,0.98903286
0.3632,0.598,1.004707
0.3792,0.678,1.0051254
0.3636,0.601,1.0046089
0.3896,0.654,1.0211266
0.4083,0.683,0.840608
0.3855,0.685,0.95236456
