student_acc_test,student_acc_train,student_loss,teacher_acc_test,teacher_acc_train,teacher_loss,total_loss
0.0962,0.098,7.1596937,0.1413,0.145,0.0,7.1596937
0.1261,0.133,2.7702289,0.142,0.1455,0.0,2.7702289
0.2159,0.2195,2.2264338,0.1417,0.142,0.0,2.2264338
0.2458,0.235,2.0863938,0.1425,0.143,0.0,2.0863938
0.2587,0.2565,2.0208085,0.1417,0.1365,0.0,2.0208085
0.2766,0.313,1.9821497,0.1367,0.1415,0.0,1.9821497
0.2842,0.314,1.9284395,0.1395,0.14,0.0,1.9284395
0.2891,0.312,1.9070972,0.1396,0.1325,0.0,1.9070972
0.3259,0.352,1.8797963,0.1404,0.1435,0.0,1.8797963
0.3284,0.3505,1.8473139,0.1412,0.1415,0.0,1.8473139
0.3259,0.334,1.8105656,0.1407,0.1405,0.0,1.8105656
0.3218,0.345,1.7911453,0.1392,0.1395,0.0,1.7911453
0.3335,0.361,1.7583929,0.1413,0.1375,0.0,1.7583929
0.3217,0.3595,1.7403982,0.1413,0.1405,0.0,1.7403982
0.3471,0.3995,1.723505,0.143,0.1415,0.0,1.723505
0.3551,0.401,1.702438,0.1402,0.1425,0.0,1.702438
0.3734,0.415,1.6737862,0.1446,0.145,0.0,1.6737862
0.3718,0.418,1.6475403,0.146,0.1435,0.0,1.6475403
0.3663,0.433,1.652387,0.1458,0.15,0.0,1.652387
0.3733,0.423,1.6214151,0.1477,0.1405,0.0,1.6214151
0.3989,0.452,1.6103697,0.1497,0.153,0.0,1.6103697
0.3889,0.4435,1.593579,0.1538,0.15,0.0,1.593579
0.3704,0.438,1.6203835,0.1576,0.155,0.0,1.6203835
0.3522,0.4115,1.6181574,0.1585,0.1505,0.0,1.6181574
0.3843,0.449,1.5605056,0.16,0.159,0.0,1.5605056
0.3871,0.451,1.5348341,0.1643,0.1605,0.0,1.5348341
0.398,0.458,1.4982326,0.1672,0.164,0.0,1.4982326
0.3761,0.4545,1.5285995,0.1724,0.165,0.0,1.5285995
0.3968,0.4775,1.5354267,0.1719,0.1755,0.0,1.5354267
0.3951,0.4665,1.5251259,0.1738,0.173,0.0,1.5251259
0.4106,0.494,1.4969975,0.1798,0.1885,0.0,1.4969975
0.41,0.492,1.4823123,0.1818,0.1875,0.0,1.4823123
0.4092,0.488,1.4351853,0.1852,0.187,0.0,1.4351853
0.4121,0.5055,1.4243851,0.1946,0.196,0.0,1.4243851
0.4162,0.524,1.4284935,0.1962,0.197,0.0,1.4284935
0.4285,0.508,1.4264071,0.2001,0.2075,0.0,1.4264071
0.422,0.5175,1.4082849,0.2062,0.215,0.0,1.4082849
0.4216,0.524,1.4017618,0.2096,0.2185,0.0,1.4017618
0.4298,0.5215,1.4069608,0.2114,0.221,0.0,1.4069608
0.4332,0.549,1.351405,0.22,0.2315,0.0,1.351405
0.4392,0.524,1.3739369,0.2241,0.2305,0.0,1.3739369
0.4077,0.5085,1.364775,0.2307,0.2355,0.0,1.364775
0.4452,0.566,1.3459545,0.2357,0.2475,0.0,1.3459545
0.4157,0.5265,1.3500412,0.2376,0.248,0.0,1.3500412
0.4439,0.554,1.309782,0.2416,0.264,0.0,1.309782
0.4419,0.583,1.2861,0.2466,0.277,0.0,1.2861
0.4379,0.548,1.2731262,0.2521,0.271,0.0,1.2731262
0.4418,0.579,1.2658976,0.2589,0.288,0.0,1.2658976
0.4463,0.5565,1.312901,0.2679,0.279,0.0,1.312901
0.4452,0.564,1.2634354,0.2738,0.312,0.0009996465,1.264435
0.448,0.583,1.2535474,0.2763,0.3015,0.01870566,1.272253
0.4568,0.595,1.2117822,0.2798,0.3135,0.017222341,1.2290046
0.436,0.5585,1.2257283,0.2909,0.331,0.01537545,1.2411038
0.4466,0.584,1.2562258,0.2949,0.3335,0.016546847,1.2727728
0.4336,0.5675,1.2474258,0.3026,0.344,0.015293772,1.2627196
0.4435,0.582,1.2136176,0.3059,0.3515,0.014029245,1.2276468
0.4474,0.591,1.1803879,0.3188,0.3575,0.013012974,1.1934007
0.4552,0.5975,1.2145115,0.3281,0.3595,0.014010799,1.2285223
0.4259,0.5635,1.2124443,0.3314,0.3695,0.013517367,1.2259617
0.4578,0.612,1.1862608,0.3384,0.384,0.012637218,1.1988981
0.4406,0.563,1.169548,0.3423,0.3955,0.01241838,1.1819664
0.4615,0.617,1.171237,0.347,0.408,0.012950202,1.1841872
0.4523,0.6075,1.1582656,0.3507,0.4125,0.012104167,1.1703697
0.4654,0.616,1.1240045,0.3557,0.424,0.011818772,1.1358232
0.4471,0.604,1.1299272,0.3632,0.426,0.011487595,1.1414148
0.447,0.6175,1.1196066,0.3634,0.4295,0.011895214,1.1315018
